Level,EnemyHP,EnemyRateOfFireMin,EnemyRateOfFireMax,EnemySpeed,EnemyMissileSpeed,EnemyMissileDamage,EnemyCollisionWithPlayerDamage,AsteroidBeltFrequency,AsteroidBeltDamage,AsteroidBeltSpeed,SpinningMineAppearFreq,SpinningMineHP,SpinningMineLaserDamage,Boss01HP,Boss01MissileDamage,Boss01MissileFreq
1,0.1,0.2,2,5,10,10,10,-1,-1,5,-1,1,-1,1,-1,-1
2,0.604040404,0.198989899,1.982828283,5.151515152,10.1010101,10.90909091,10.90909091,-1,-1,5.151515152,-1,2,-1,3.01010101,-1,-1
3,1.108080808,0.197979798,1.965656566,5.303030303,10.2020202,11.81818182,11.81818182,-1,-1,5.303030303,-1,3,-1,5.02020202,-1,-1
4,1.612121212,0.196969697,1.948484848,5.454545455,10.3030303,12.72727273,12.72727273,-1,-1,5.454545455,-1,4,-1,7.03030303,-1,-1
5,2.116161616,0.195959596,1.931313131,5.606060606,10.4040404,13.63636364,13.63636364,-1,-1,5.606060606,-1,5,-1,9.04040404,-1,-1
6,2.62020202,0.194949495,1.914141414,5.757575758,10.50505051,14.54545455,14.54545455,-1,-1,5.757575758,-1,6,-1,11.05050505,-1,-1
7,3.124242424,0.193939394,1.896969697,5.909090909,10.60606061,15.45454545,15.45454545,-1,-1,5.909090909,-1,7,-1,13.06060606,-1,-1
8,3.628282828,0.192929293,1.87979798,6.060606061,10.70707071,16.36363636,16.36363636,-1,-1,6.060606061,-1,8,-1,15.07070707,-1,-1
9,4.132323232,0.191919192,1.862626263,6.212121212,10.80808081,17.27272727,17.27272727,-1,-1,6.212121212,-1,9,-1,17.08080808,-1,-1
10,4.636363636,0.190909091,1.845454545,6.363636364,10.90909091,18.18181818,18.18181818,-1,-1,6.363636364,-1,10,-1,19.09090909,-1,-1
11,5.14040404,0.18989899,1.828282828,6.515151515,11.01010101,19.09090909,19.09090909,-1,-1,6.515151515,-1,11,-1,21.1010101,-1,-1
12,5.644444444,0.188888889,1.811111111,6.666666667,11.11111111,20,20,-1,-1,6.666666667,-1,12,-1,23.11111111,-1,-1
13,6.148484848,0.187878788,1.793939394,6.818181818,11.21212121,20.90909091,20.90909091,-1,-1,6.818181818,-1,13,-1,25.12121212,-1,-1
14,6.652525253,0.186868687,1.776767677,6.96969697,11.31313131,21.81818182,21.81818182,-1,-1,6.96969697,-1,14,-1,27.13131313,-1,-1
15,7.156565657,0.185858586,1.75959596,7.121212121,11.41414141,22.72727273,22.72727273,-1,-1,7.121212121,-1,15,-1,29.14141414,-1,-1
16,7.660606061,0.184848485,1.742424242,7.272727273,11.51515152,23.63636364,23.63636364,-1,-1,7.272727273,-1,16,-1,31.15151515,-1,-1
17,8.164646465,0.183838384,1.725252525,7.424242424,11.61616162,24.54545455,24.54545455,-1,-1,7.424242424,-1,17,-1,33.16161616,-1,-1
18,8.668686869,0.182828283,1.708080808,7.575757576,11.71717172,25.45454545,25.45454545,-1,-1,7.575757576,-1,18,-1,35.17171717,-1,-1
19,9.172727273,0.181818182,1.690909091,7.727272727,11.81818182,26.36363636,26.36363636,-1,-1,7.727272727,-1,19,-1,37.18181818,-1,-1
20,9.676767677,0.180808081,1.673737374,7.878787879,11.91919192,27.27272727,27.27272727,-1,-1,7.878787879,-1,20,-1,39.19191919,-1,-1
21,10.18080808,0.17979798,1.656565657,8.03030303,12.02020202,28.18181818,28.18181818,-1,-1,8.03030303,-1,21,-1,41.2020202,-1,-1
22,10.68484848,0.178787879,1.639393939,8.181818182,12.12121212,29.09090909,29.09090909,-1,-1,8.181818182,-1,22,-1,43.21212121,-1,-1
23,11.18888889,0.177777778,1.622222222,8.333333333,12.22222222,30,30,-1,-1,8.333333333,-1,23,-1,45.22222222,-1,-1
24,11.69292929,0.176767677,1.605050505,8.484848485,12.32323232,30.90909091,30.90909091,-1,-1,8.484848485,-1,24,-1,47.23232323,-1,-1
25,12.1969697,0.175757576,1.587878788,8.636363636,12.42424242,31.81818182,31.81818182,-1,-1,8.636363636,-1,25,-1,49.24242424,-1,-1
26,12.7010101,0.174747475,1.570707071,8.787878788,12.52525253,32.72727273,32.72727273,-1,-1,8.787878788,-1,26,-1,51.25252525,-1,-1
